"id","title","description","category","price","discountPercentage","rating","stock","brand","sku","weight","warrantyInformation","shippingInformation","availabilityStatus","returnPolicy","minimumOrderQuantity","meta","images","thumbnail","dimensions_width","dimensions_height","dimensions_depth","review_1_rating","review_1_comment","review_1_reviewer","review_2_rating","review_2_comment","review_2_reviewer","review_3_rating","review_3_comment","review_3_reviewer","tags"
"1","Essence Mascara Lash Princess","The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.","beauty","9.99","7.17","4.94","5","Essence","RCH45Q1A","2","1 month warranty","Ships in 1 month","Low Stock","30 days return policy","24","","","https://cdn.dummyjson.com/products/images/beauty/Essence%20Mascara%20Lash%20Princess/thumbnail.png","23.17","14.43","28.01","2","Very unhappy with my purchase!","John Doe","2","Not as described!","Nolan Gonzalez","5","Very satisfied!","Scarlett Wright","beauty, mascara"
"2","Eyeshadow Palette with Mirror","The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.","beauty","19.99","5.5","3.28","44","Glamour Beauty","MVCFH27F","3","1 year warranty","Ships in 2 weeks","In Stock","30 days return policy","32","","","https://cdn.dummyjson.com/products/images/beauty/Eyeshadow%20Palette%20with%20Mirror/thumbnail.png","12.42","8.63","29.13","4","Very satisfied!","Liam Garcia","1","Very disappointed!","Nora Russell","5","Highly impressed!","Elena Baker","beauty, eyeshadow"
"3","Powder Canister","The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.","beauty","14.99","18.14","3.82","59","Velvet Touch","9EN8WLT2","8","2 year warranty","Ships in 1-2 business days","In Stock","60 days return policy","25","","","https://cdn.dummyjson.com/products/images/beauty/Powder%20Canister/thumbnail.png","24.16","10.7","11.07","5","Very happy with my purchase!","Ethan Thompson","4","Great value for money!","Levi Hicks","5","Highly impressed!","Hazel Gardner","beauty, face powder"
"4","Red Lipstick","The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.","beauty","12.99","19.03","2.51","68","Chic Cosmetics","O5IF1NTA","5","Lifetime warranty","Ships in 2 weeks","In Stock","90 days return policy","6","","","https://cdn.dummyjson.com/products/images/beauty/Red%20Lipstick/thumbnail.png","14.37","13.94","14.6","5","Great product!","Leo Rivera","4","Very pleased!","Oscar Powers","5","Very pleased!","Carter Rivera","beauty, lipstick"
"5","Red Nail Polish","The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.","beauty","8.99","2.46","3.91","71","Nail Couture","YUIIIP4W","9","1 year warranty","Ships in 1 week","In Stock","No return policy","46","","","https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/thumbnail.png","8.11","10.89","29.06","5","Very pleased!","Leo Rivera","5","Great product!","Evan Reed","4","Highly recommended!","Evelyn Sanchez","beauty, nail polish"
"6","Calvin Klein CK One","CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.","fragrances","49.99","0.32","4.85","17","Calvin Klein","DZM2JQZE","5","5 year warranty","Ships overnight","In Stock","No return policy","20","","","https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/thumbnail.png","11.53","14.44","6.81","5","Great value for money!","Sophia Brown","3","Very disappointed!","Madison Collins","1","Poor quality!","Maya Reed","fragrances, perfumes"
"7","Chanel Coco Noir Eau De","Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.","fragrances","129.99","18.64","2.76","41","Chanel","K71HBCGS","4","1 week warranty","Ships in 1 month","In Stock","60 days return policy","5","","","https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/thumbnail.png","21.27","28","11.89","1","Disappointing product!","Lincoln Kelly","4","Great product!","Lincoln Kelly","4","Excellent quality!","Lucas Allen","fragrances, perfumes"
"8","Dior J'adore","J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.","fragrances","89.99","17.44","3.31","91","Dior","E70NB03B","10","Lifetime warranty","Ships in 2 weeks","In Stock","7 days return policy","8","","","https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/thumbnail.png","21.51","7","26.51","5","Fast shipping!","Zoe Nicholson","4","Excellent quality!","Addison Wright","4","Would buy again!","Clara Berry","fragrances, perfumes"
"9","Dolce Shine Eau de","Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.","fragrances","69.99","11.47","2.68","3","Dolce & Gabbana","1NBFK980","5","5 year warranty","Ships in 1-2 business days","Low Stock","30 days return policy","9","","","https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/thumbnail.png","17","24.57","13.3","4","Very satisfied!","Xavier Wright","1","Poor quality!","Mila Hernandez","5","Very happy with my purchase!","Sophia Brown","fragrances, perfumes"
"10","Gucci Bloom Eau de","Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.","fragrances","79.99","8.9","2.69","93","Gucci","FFKZ6HOF","10","No warranty","Ships in 2 weeks","In Stock","No return policy","10","","","https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/thumbnail.png","22.28","17.81","27.18","5","Great value for money!","Aria Parker","4","Excellent quality!","Natalie Harris","4","Fast shipping!","Ava Harris","fragrances, perfumes"
"11","Annibale Colombo Bed","The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.","furniture","1899.99","0.29","4.14","47","Annibale Colombo","4KMDTZWF","3","2 year warranty","Ships overnight","In Stock","7 days return policy","1","","","https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/thumbnail.png","28.75","26.88","24.47","4","Great value for money!","Julian Newton","5","Would buy again!","Madison Collins","4","Would buy again!","Clara Berry","furniture, beds"
